Ticker,Event,Date,Before_Volatility,After_Volatility,Volatility_Change,Volatility_Change_Pct
AAPL,iPhone 15 Launch,2023-09-12,0.01962392802305992,0.014152479102722142,-0.0054714489203377785,-27.881517471468108
AAPL,Q1 2024 Earnings Beat,2024-02-01,0.008054607618755103,0.0076361462025447725,-0.00041846141621033027,-5.195304799652133
AAPL,Services Revenue Record,2024-05-02,0.015158487362135004,0.02708699447611691,0.011928507113981905,78.69193560683769
AAPL,Vision Pro Announcement,2023-06-05,0.006111786466329598,0.009559642270229061,0.003447855803899463,56.41322423311126
AAPL,Q3 2023 Earnings Miss,2023-08-03,0.010102395938057179,0.020019766711057357,0.009917370773000178,98.16850214353622
TSLA,Cybertruck Delivery Event,2023-11-30,0.025876019575883313,0.012234085672689122,-0.013641933903194191,-52.720372479191504
TSLA,Q4 2023 Earnings Beat,2024-01-24,0.011189800424934818,0.061808066825457204,0.05061826640052239,452.3607613923753
TSLA,Price Cuts Announced,2024-04-05,0.025397787800607346,0.03617093238808645,0.010773144587479102,42.41764941126676
TSLA,Musk Twitter Controversy,2023-07-17,0.014207843321862432,0.04925813581958402,0.03505029249772159,246.69678362646127
TSLA,Model 3 Highland Launch,2023-09-01,0.03688435968543306,0.035263442074585885,-0.001620917610847178,-4.3945933308077345
META,Q1 2023 Earnings Surprise,2023-04-26,0.009113335444930525,0.061957589388082455,0.05284425394315193,579.8563463670988
META,Threads App Launch,2023-07-05,0.023658335011982563,0.015271929855780889,-0.008386405156201674,-35.447993918228384
META,AI Investment Announcement,2024-02-02,0.01478519554383091,0.09489961845895213,0.08011442291512122,541.8556871812817
META,Q4 2023 Strong Guidance,2024-02-01,0.01513787508103956,0.09392301456222069,0.07878513948118113,520.4504533127032
META,Reality Labs Loss Report,2023-10-25,0.014862902658582184,0.03222999026512769,0.017367087606545505,116.84855916429855
